-0.0003876,0.0
-0.0003872,0.0032
-0.0003868,0.0016
-0.0003864,0.0048
-0.000386,0.0024
-0.0003856,0.0008
-0.0003852,0.004
-0.0003848,-0.0016
-0.0003844,0.0064
-0.000384,0.0016
-0.0003836,-0.0024
-0.0003832,0.0024
-0.0003828,-0.0056
-0.0003824,0.004
-0.000382,-0.0008
-0.0003816,0.004
-0.0003812,0.0008
-0.0003808,-0.0016
-0.0003804,-0.0016
-0.00038,-0.0016
-0.0003796,-0.0016
-0.0003792,-0.0056
-0.0003788,-0.0016
-0.0003784,0.0
-0.000378,0.0
-0.0003776,-0.0024
-0.0003772,-0.0032
-0.0003768,-0.0008
-0.0003764,-0.0048
-0.000376,-0.0016
-0.0003756,-0.0032
-0.0003752,0.0008
-0.0003748,0.0008
-0.0003744,0.0008
-0.000374,0.0032
-0.0003736,-0.0008
-0.0003732,-0.0032
-0.0003728,0.0
-0.0003724,0.0016
-0.000372,0.0
-0.0003716,-0.0072
-0.0003712,0.0032
-0.0003708,-0.0024
-0.0003704,-0.0008
-0.00037,0.0016
-0.0003696,0.0
-0.0003692,0.0016
-0.0003688,0.0008
-0.0003684,-0.0032
-0.000368,-0.0056
-0.0003676,-0.0048
-0.0003672,-0.0024
-0.0003668,-0.0024
-0.0003664,0.004
-0.000366,-0.0024
-0.0003656,-0.0016
-0.0003652,-0.0048
-0.0003648,-0.0048
-0.0003644,-0.0032
-0.000364,-0.0048
-0.0003636,-0.0032
-0.0003632,-0.004
-0.0003628,-0.0032
-0.0003624,0.0024
-0.000362,-0.008
-0.0003616,-0.004
-0.0003612,-0.0008
-0.0003608,-0.0016
-0.0003604,-0.004
-0.00036,-0.0016
-0.0003596,-0.0024
-0.0003592,-0.008
-0.0003588,-0.0024
-0.0003584,-0.0008
-0.000358,0.0032
-0.0003576,0.0016
-0.0003572,0.0008
-0.0003568,-0.0008
-0.0003564,-0.0008
-0.000356,-0.0024
-0.0003556,-0.0032
-0.0003552,-0.0048
-0.0003548,-0.0024
-0.0003544,-0.0024
-0.000354,-0.0024
-0.0003536,0.0008
-0.0003532,0.0008
-0.0003528,-0.004
-0.0003524,-0.0016
-0.000352,-0.0024
-0.0003516,-0.0016
-0.0003512,0.0016
-0.0003508,-0.0016
-0.0003504,-0.0016
-0.00035,-0.0016
-0.0003496,0.0008
-0.0003492,-0.0064
-0.0003488,-0.0072
-0.0003484,-0.004
-0.000348,-0.0032
-0.0003476,-0.0024
-0.0003472,0.0016
-0.0003468,-0.0016
-0.0003464,-0.0016
-0.000346,0.0008
-0.0003456,-0.0024
-0.0003452,-0.0024
-0.0003448,-0.0024
-0.0003444,-0.0048
-0.000344,-0.0024
-0.0003436,-0.0016
-0.0003432,-0.004
-0.0003428,-0.0016
-0.0003424,0.004
-0.000342,-0.0024
-0.0003416,-0.0032
-0.0003412,-0.0024
-0.0003408,0.0016
-0.0003404,-0.0024
-0.00034,0.0016
-0.0003396,-0.0008
-0.0003392,-0.0016
-0.0003388,-0.004
-0.0003384,-0.0072
-0.000338,-0.0016
-0.0003376,0.0008
-0.0003372,-0.0032
-0.0003368,-0.0016
-0.0003364,0.0024
-0.000336,0.0032
-0.0003356,-0.0024
-0.0003352,-0.0048
-0.0003348,0.0008
-0.0003344,-0.0008
-0.000334,-0.0016
-0.0003336,0.0008
-0.0003332,0.0024
-0.0003328,0.004
-0.0003324,0.0016
-0.000332,0.0016
-0.0003316,-0.004
-0.0003312,-0.0008
-0.0003308,-0.004
-0.0003304,0.0008
-0.00033,-0.004
-0.0003296,-0.0008
-0.0003292,0.0008
-0.0003288,-0.0032
-0.0003284,-0.0088
-0.000328,0.004
-0.0003276,0.0
-0.0003272,0.0024
-0.0003268,-0.004
-0.0003264,0.0008
-0.000326,0.0
-0.0003256,0.0016
-0.0003252,-0.0008
-0.0003248,-0.0032
-0.0003244,-0.004
-0.000324,0.0
-0.0003236,-0.0016
-0.0003232,0.0024
-0.0003228,0.0032
-0.0003224,0.0016
-0.000322,0.0016
-0.0003216,0.0016
-0.0003212,0.004
-0.0003208,0.0032
-0.0003204,0.0032
-0.00032,0.0048
-0.0003196,-0.0024
-0.0003192,-0.0048
-0.0003188,0.0016
-0.0003184,-0.0024
-0.000318,0.0048
-0.0003176,0.0032
-0.0003172,0.0048
-0.0003168,0.0072
-0.0003164,0.0048
-0.000316,0.0048
-0.0003156,0.0056
-0.0003152,-0.0016
-0.0003148,0.0072
-0.0003144,0.0016
-0.000314,0.008
-0.0003136,0.0048
-0.0003132,0.0064
-0.0003128,0.0016
-0.0003124,0.0064
-0.000312,0.004
-0.0003116,0.0032
-0.0003112,0.0072
-0.0003108,0.0
-0.0003104,0.0008
-0.00031,0.0064
-0.0003096,0.0024
-0.0003092,0.0048
-0.0003088,0.0056
-0.0003084,0.0032
-0.000308,0.0064
-0.0003076,-0.0008
-0.0003072,0.0072
-0.0003068,0.0056
-0.0003064,0.0064
-0.000306,0.004
